Molecules,SMILES,Adsorption energy,1 C,2C,3C,4C,5C,6C,7C,8C,9C,N,Ring O1,O2,O3,O4,Polarizability,Dipole moment,TPSA,entropy,EA,volume,natom,IP,McGowan_Volume,Kier1,Kier2,Kier3
mol134,NC(CC1=CC(O)=C(O)C(=C1)C(N)=O)C(O)=O,18.89,,,,,,,,,,,,,,,,,,,,,,,,,,
mol135,NC(CC1=CC(O)=C(O)C(=C1)C(O)=O)C(O)=O,18.45,,,,,,,,,,,,,,,,,,,,,,,,,,
mol136,NC(CC1=CC(O)=C(O)C(CC2=CC=CC=C2)=C1)C(O)=O,18.44,,,,,,,,,,,,,,,,,,,,,,,,,,
mol137,NC(CC1=CC(O)=C(O)C(CC(=O)C2=CC=CC=C2)=C1)C(O)=O,23.36,,,,,,,,,,,,,,,,,,,,,,,,,,
mol138,NC(CC1=CC(O)=C(O)C(COC2=CC=CC=C2)=C1)C(O)=O,17.29,,,,,,,,,,,,,,,,,,,,,,,,,,
mol139,COC(=O)C1=CC(=CC(O)=C1O)C(O)C(N)C(O)=O,20.19,,,,,,,,,,,,,,,,,,,,,,,,,,
mol140,NC(C(O)C1=CC(O)=C(O)C(C=C)=C1)C(O)=O,18.18,,,,,,,,,,,,,,,,,,,,,,,,,,
mol141,NC(C(O)C1=CC(O)=C(O)C(=C1)C#C)C(O)=O,17.54,,,,,,,,,,,,,,,,,,,,,,,,,,
mol142,C\C=C\C1=CC(=CC(O)=C1O)C(O)C(N)C(O)=O,20.33,,,,,,,,,,,,,,,,,,,,,,,,,,
mol143,CC#CC1=CC(=CC(O)=C1O)C(O)C(N)C(O)=O,18.89,,,,,,,,,,,,,,,,,,,,,,,,,,
mol144,COCC1=CC(=CC(O)=C1O)C(O)C(N)C(O)=O,20.24,,,,,,,,,,,,,,,,,,,,,,,,,,
mol145,NC(C(O)C1=CC(O)=C(O)C(=C1)C(Cl)=O)C(O)=O,19.22,,,,,,,,,,,,,,,,,,,,,,,,,,
mol146,NC(C(O)C1=CC(O)=C(O)C(=C1)C(N)=O)C(O)=O,19.39,,,,,,,,,,,,,,,,,,,,,,,,,,
mol147,NC(C(O)C1=CC(O)=C(O)C(=C1)C(O)=O)C(O)=O,18.45,,,,,,,,,,,,,,,,,,,,,,,,,,
